# Ping Weekly Archive -- 2026-W23

| Session Date | Ticker | Type | Bars | Decisions |
|---|---|---|---|---|
| 2026-06-01 | AAPL | candidate | 223 | 0 |
| 2026-06-01 | AMD | candidate | 223 | 0 |
| 2026-06-01 | AVGO | candidate | 223 | 0 |
| 2026-06-01 | MSFT | candidate | 223 | 0 |
| 2026-06-01 | MU | candidate | 223 | 0 |
| 2026-06-01 | SPY | etf | 154 | 0 |
| 2026-06-01 | XLB | etf | 21 | 0 |
| 2026-06-01 | XLC | etf | 14 | 0 |
| 2026-06-01 | XLE | etf | 99 | 0 |
| 2026-06-01 | XLF | etf | 55 | 0 |
| 2026-06-01 | XLI | etf | 29 | 0 |
| 2026-06-01 | XLK | etf | 88 | 0 |
| 2026-06-01 | XLP | etf | 35 | 0 |
| 2026-06-01 | XLRE | etf | 16 | 0 |
| 2026-06-01 | XLU | etf | 60 | 0 |
| 2026-06-01 | XLV | etf | 46 | 0 |
| 2026-06-01 | XLY | etf | 25 | 0 |
| 2026-06-02 | AVGO | candidate | 270 | 0 |
| 2026-06-02 | MU | candidate | 270 | 0 |
| 2026-06-02 | NVDA | candidate | 270 | 0 |
| 2026-06-02 | SPY | etf | 155 | 0 |
| 2026-06-02 | XLB | etf | 15 | 0 |
| 2026-06-02 | XLC | etf | 11 | 0 |
| 2026-06-02 | XLE | etf | 79 | 0 |
| 2026-06-02 | XLF | etf | 31 | 0 |
| 2026-06-02 | XLI | etf | 16 | 0 |
| 2026-06-02 | XLK | etf | 77 | 0 |
| 2026-06-02 | XLP | etf | 21 | 0 |
| 2026-06-02 | XLRE | etf | 9 | 0 |
| 2026-06-02 | XLU | etf | 47 | 0 |
| 2026-06-02 | XLV | etf | 37 | 0 |
| 2026-06-02 | XLY | etf | 16 | 0 |
| 2026-06-02 | XOM | candidate | 181 | 0 |
| 2026-06-03 | AAPL | candidate | 221 | 0 |
| 2026-06-03 | AVGO | candidate | 135 | 0 |
| 2026-06-03 | CAT | candidate | 171 | 0 |
| 2026-06-03 | CSCO | candidate | 134 | 0 |
| 2026-06-03 | LRCX | candidate | 133 | 0 |
| 2026-06-03 | MU | candidate | 134 | 0 |
| 2026-06-03 | SPY | etf | 156 | 0 |
| 2026-06-03 | XLB | etf | 18 | 0 |
| 2026-06-03 | XLC | etf | 20 | 0 |
| 2026-06-03 | XLE | etf | 100 | 0 |
| 2026-06-03 | XLF | etf | 45 | 0 |
| 2026-06-03 | XLI | etf | 23 | 0 |
| 2026-06-03 | XLK | etf | 77 | 0 |
| 2026-06-03 | XLP | etf | 34 | 0 |
| 2026-06-03 | XLRE | etf | 15 | 0 |
| 2026-06-03 | XLU | etf | 32 | 0 |
| 2026-06-03 | XLV | etf | 37 | 0 |
| 2026-06-03 | XLY | etf | 52 | 0 |
| 2026-06-04 | CAT | candidate | 231 | 0 |
| 2026-06-04 | ETN | candidate | 224 | 0 |
| 2026-06-04 | SPY | etf | 164 | 0 |
| 2026-06-04 | TJX | candidate | 178 | 0 |
| 2026-06-04 | XLB | etf | 18 | 0 |
| 2026-06-04 | XLC | etf | 15 | 0 |
| 2026-06-04 | XLE | etf | 107 | 0 |
| 2026-06-04 | XLF | etf | 67 | 0 |
| 2026-06-04 | XLI | etf | 24 | 0 |
| 2026-06-04 | XLK | etf | 96 | 0 |
| 2026-06-04 | XLP | etf | 56 | 0 |
| 2026-06-04 | XLRE | etf | 18 | 0 |
| 2026-06-04 | XLU | etf | 43 | 0 |
| 2026-06-04 | XLV | etf | 58 | 0 |
| 2026-06-04 | XLY | etf | 24 | 0 |
| 2026-06-05 | ABBV | candidate | 262 | 0 |
| 2026-06-05 | AMT | candidate | 146 | 0 |
| 2026-06-05 | EQIX | candidate | 103 | 0 |
| 2026-06-05 | LLY | candidate | 270 | 0 |
| 2026-06-05 | SPY | etf | 144 | 0 |
| 2026-06-05 | XLB | etf | 10 | 0 |
| 2026-06-05 | XLC | etf | 14 | 0 |
| 2026-06-05 | XLE | etf | 71 | 0 |
| 2026-06-05 | XLF | etf | 59 | 0 |
| 2026-06-05 | XLI | etf | 26 | 0 |
| 2026-06-05 | XLK | etf | 82 | 0 |
| 2026-06-05 | XLP | etf | 40 | 0 |
| 2026-06-05 | XLRE | etf | 21 | 0 |
| 2026-06-05 | XLU | etf | 37 | 0 |
| 2026-06-05 | XLV | etf | 68 | 0 |
| 2026-06-05 | XLY | etf | 23 | 0 |
